date,headline
2026-04-16,Taiwan Semiconductor CEO just dropped a hint about the next move in AI stocks
2026-04-16,MacとWindows (BootCamp)に対応したファンコントロールアプリ「Macs Fan Control」がMacBook NeoやMacBook Air (M5)、MacBook Pro (M5 Pro/Max)に対応。
2026-04-16,3 amazing ASX ETFs that are beginner-friendly
2026-04-15,Google、ショートカットキーで素早く呼び出せる100%ネイティブSwiftでApple Silicon Mac用に開発されたGeminiクライアント「Gemini for Mac」をリリース。
2026-04-15,"Long Elon, short Jensen: A research firm says retail traders are flocking back to Tesla and pivoting from Nvidia"
2026-04-15,3 ASX ETFs to buy and hold for the next decade
2026-04-15,Amazon Stock Is Overbought Amid Globalstar Deal. Is a Pullback Coming?
2026-04-15,"Apple (AAPL) Stock at $260: Buy, Sell or Hold?"
2026-04-15,Top BofA Analyst Raises Apple Stock (AAPL) Price Target Ahead of Q2 Earnings
2026-04-15,VOO vs. QQQ vs. SPY — Which ETF Is the Best Buy Right Now?
2026-04-15,Elevation Lab、コイン電池の代わりに単三電池2本を使用しAirTagを最大10年利用できるようにするバッテリーケース「TimeCapsule AirTag 10-Year Battery Case」のCompactモデルを発売。
2026-04-14,Stocks Rally on a Push for Diplomacy to End US-Iran War
2026-04-14,Appleが旧iWorkアプリをApple Creator StudioのiWorkに置き換えて配信を開始したことで、macOS 14 Sonomaでは旧iWorkを削除すると使えるiWorkアプリがなくなるので注意を。
2026-04-14,"Jim Cramer Says “Don’t Mess With Alphabet, They’re Crushing It”"
2026-04-14,Show HN: LangAlpha – what if Claude Code was built for Wall Street?
2026-04-14,xfinlink added to PyPI
2026-04-14,"iPhone Fold Production Pushed Back, But Fall 2026 Launch Still on Track - MacRumors"
2026-04-13,Smart Adhesive Is Key to Crease-Free Foldable iPhone Display - MacRumors
2026-04-13,oneworldtrade added to PyPI
2026-04-13,Apple、旧PagesやNumbers、Keynote for macOS/iOSの配布を終了。既にダウンロード済みユーザーでも再ダウンロードできない状態なので注意を。
2026-04-13,Trendforce says hi-tech glue could be key to an invisible crease in the iPhone Ultra - 9to5Mac
2026-04-13,‘Apple’s true achievement is the culture Steve Jobs instilled’ – Gene Munster
2026-04-12,Spigen、ケース両面にマグネットを配置することでリングホルダーや車載ホルダーと併用できるカードケース「MagSafe Card Holder Valentinus (MagFit+) 5枚入り」を発売。
2026-04-12,Magnificent 7 stocks are splitting again: Chart of the Day
2026-04-12,Apple iPhone Fold: Release Date Leaked And Striking Design Revealed In Photos - Forbes
2026-04-12,ticker-classifier added to PyPI
2026-04-12,atabet-data added to PyPI
2026-04-11,'iPhone Ultra' Will Solve Two Key Problems - MacRumors
2026-04-11,nabla-quant 0.1.0
2026-04-11,raindrop-agno added to PyPI
2026-04-11,The Latest Foldable iPhone Rumors: What's Changed and What We Know Now - MacRumors
2026-04-11,MarkdownファイルをmacOSのQuick LookでプレビューできるQuick Look機能拡張「QLMarkdown」がAppleの公証を取得。
2026-04-11,finbase added to PyPI
2026-04-10,Mantle’s xStocks Rollout Pushes Tokenized Equities Closer to Real Onchain Liquidity
2026-04-10,"New iPhone Fold leaks cover ‘Ultra’ name, launch timing, more - 9to5Mac"
2026-04-10,"New iPhone Ultra renders, battery capacity, and thickness details leaked - PhoneArena"
2026-04-10,Show HN: Faster more accurate multimodal vector search
2026-04-10,Apple Inc. (AAPL): Israel Englander Trims Stake
2026-04-10,Warren Buffett and Ken Fisher Love Apple (AAPL) – Here’s Why
2026-04-10,ceointerviews-mcp added to PyPI
2026-04-10,zeptodb added to PyPI
2026-04-09,Codeweavers、Apple Silicon Mac上でPC版「Death Stranding 2」のプレイを可能にした「CrossOver v26.1.0」をリリース。
2026-04-09,Apple、Apple Creator StudioのiWorkアプリをアップデート。より新しいLiquid Glassの作業体験や編集可能な図形、HDRをサポート。
2026-04-09,ockham added to PyPI
2026-04-09,Foldable iPhones Are Reportedly Still on Track for September. Should You Buy AAPL Stock Here?
2026-04-09,Wedbush: What You Need to Know About the Latest ‘Victory’ for Apple Stock
2026-04-09,Wedbush Is Bullish on Magnificent 7 Amid the 2-Week Ceasefire. Nvidia Is the Top-Rated Stock to Buy Now.
